split_A,image_A,split_B,image_B,SSIM
train,05182.jpg,test,00953.jpg,0.9903006062823606
train,05182.jpg,test,02199.jpg,0.9903006062823606
train,04968.jpg,test,00930.jpg,0.9901951046713496
train,04968.jpg,test,02167.jpg,0.9901951046713496
train,05027.jpg,test,00936.jpg,0.9901571448901605
train,05027.jpg,test,02176.jpg,0.9901571448901605
train,05192.jpg,test,02198.jpg,0.9901540906186355
train,05185.jpg,test,02199.jpg,0.990149123228916
train,05185.jpg,test,00953.jpg,0.990149123228916
train,01092.jpg,test,00422.jpg,0.9901388957528784
train,01092.jpg,test,01514.jpg,0.9901388957528784
train,01018.jpg,test,01499.jpg,0.9901317918395464
train,01018.jpg,test,00402.jpg,0.9901317918395464
train,05028.jpg,test,00936.jpg,0.9900880007795074
train,05028.jpg,test,02176.jpg,0.9900880007795074
train,04989.jpg,test,00931.jpg,0.9900288747365137
train,04989.jpg,test,02170.jpg,0.9900288747365137
train,01229.jpg,test,01539.jpg,0.9900282419057163
train,01229.jpg,test,00440.jpg,0.9900282419057163
train,01027.jpg,test,01502.jpg,0.9900177002653038
train,03081.jpg,test,01879.jpg,0.9899781172959521
train,01230.jpg,test,01540.jpg,0.9899413638197062
train,04994.jpg,test,02170.jpg,0.9899290075643663
train,04994.jpg,test,00931.jpg,0.9899290075643663
train,03082.jpg,test,01879.jpg,0.9898977893135004
train,05023.jpg,test,02176.jpg,0.9898232471932822
train,05023.jpg,test,00936.jpg,0.9898232471932822
train,04993.jpg,test,00931.jpg,0.9898208796001723
train,04993.jpg,test,02170.jpg,0.9898208796001723
train,05182.jpg,test,02200.jpg,0.9898155749123431
train,05182.jpg,test,00954.jpg,0.9898155749123431
train,01021.jpg,test,00403.jpg,0.9897992372393264
train,01021.jpg,test,01501.jpg,0.9897992372393264
train,05020.jpg,test,02175.jpg,0.9897437058775453
train,05020.jpg,test,00935.jpg,0.9897437058775453
train,05073.jpg,test,02183.jpg,0.9897241501633974
train,05021.jpg,test,02176.jpg,0.9896737278950856
train,05021.jpg,test,00936.jpg,0.9896737278950856
train,04906.jpg,test,02155.jpg,0.9896700796696444
