image,GT,Predictions,TP,FP,FN,total_errors
00116.jpg,1,1,1,0,0,0
00117.jpg,1,1,1,0,0,0
00118.jpg,1,1,1,0,0,0
00119.jpg,1,1,1,0,0,0
00120.jpg,3,3,3,0,0,0
00121.jpg,3,3,3,0,0,0
00122.jpg,3,3,3,0,0,0
00123.jpg,2,2,2,0,0,0
00124.jpg,2,2,2,0,0,0
00128.jpg,2,2,2,0,0,0
00129.jpg,1,1,1,0,0,0
00130.jpg,1,1,1,0,0,0
00131.jpg,1,1,1,0,0,0
00132.jpg,1,1,1,0,0,0
00133.jpg,1,1,1,0,0,0
00134.jpg,1,1,1,0,0,0
00135.jpg,1,1,1,0,0,0
00136.jpg,1,1,1,0,0,0
00137.jpg,1,1,1,0,0,0
00138.jpg,1,1,1,0,0,0
00139.jpg,1,1,1,0,0,0
00140.jpg,1,1,1,0,0,0
00141.jpg,1,1,1,0,0,0
00142.jpg,1,1,1,0,0,0
00143.jpg,1,1,1,0,0,0
00144.jpg,1,1,1,0,0,0
00145.jpg,1,1,1,0,0,0
00146.jpg,1,1,1,0,0,0
00147.jpg,1,1,1,0,0,0
00148.jpg,1,1,1,0,0,0
00149.jpg,1,1,1,0,0,0
00150.jpg,1,1,1,0,0,0
00153.jpg,1,1,1,0,0,0
00154.jpg,1,1,1,0,0,0
00155.jpg,1,1,1,0,0,0
00157.jpg,1,1,1,0,0,0
00158.jpg,1,1,1,0,0,0
00159.jpg,1,1,1,0,0,0
00160.jpg,1,1,1,0,0,0
00161.jpg,1,1,1,0,0,0
00162.jpg,1,1,1,0,0,0
00163.jpg,1,1,1,0,0,0
00164.jpg,1,1,1,0,0,0
00165.jpg,1,1,1,0,0,0
00166.jpg,1,1,1,0,0,0
00167.jpg,1,1,1,0,0,0
00168.jpg,1,1,1,0,0,0
00169.jpg,1,1,1,0,0,0
00170.jpg,1,1,1,0,0,0
00171.jpg,1,1,1,0,0,0
00172.jpg,1,1,1,0,0,0
00173.jpg,1,1,1,0,0,0
00174.jpg,1,1,1,0,0,0
00175.jpg,1,1,1,0,0,0
00176.jpg,1,1,1,0,0,0
00177.jpg,1,1,1,0,0,0
00178.jpg,1,1,1,0,0,0
00179.jpg,1,1,1,0,0,0
00180.jpg,1,1,1,0,0,0
00181.jpg,1,1,1,0,0,0
00182.jpg,1,1,1,0,0,0
00183.jpg,1,1,1,0,0,0
00184.jpg,1,1,1,0,0,0
00185.jpg,1,1,1,0,0,0
00186.jpg,1,1,1,0,0,0
00187.jpg,1,1,1,0,0,0
00188.jpg,1,1,1,0,0,0
00189.jpg,1,1,1,0,0,0
00190.jpg,1,1,1,0,0,0
00191.jpg,1,1,1,0,0,0
