epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,10444.6,1.36245,0.5086,0.00266,0.97502,0.92337,0.95203,0.64371,1.29241,0.44798,0.0031,0.0011882,0.0011882,0.0011882
43,10703.7,1.34043,0.4946,0.00271,0.97844,0.91769,0.95107,0.64397,1.27738,0.44699,0.00305,0.0011684,0.0011684,0.0011684
44,10958.7,1.35694,0.5145,0.00277,0.97489,0.9298,0.95326,0.65457,1.25487,0.44548,0.00304,0.0011486,0.0011486,0.0011486
45,11215.7,1.3512,0.50046,0.00261,0.97029,0.93056,0.95205,0.64929,1.26012,0.43723,0.00307,0.0011288,0.0011288,0.0011288
46,11475.9,1.35313,0.4924,0.00275,0.97468,0.92536,0.95422,0.65244,1.24616,0.43976,0.00314,0.001109,0.001109,0.001109
47,11737.4,1.34312,0.48417,0.00261,0.97128,0.9298,0.95305,0.64836,1.25113,0.43321,0.00294,0.0010892,0.0010892,0.0010892
48,12015.6,1.34534,0.49476,0.00278,0.97163,0.92179,0.94843,0.63293,1.34052,0.46629,0.00326,0.0010694,0.0010694,0.0010694
49,12292.5,1.32879,0.48001,0.00256,0.97798,0.92636,0.95537,0.65104,1.25937,0.43734,0.00301,0.0010496,0.0010496,0.0010496
50,12569.9,1.34617,0.48053,0.00252,0.97324,0.92974,0.9545,0.65529,1.25556,0.43611,0.00304,0.0010298,0.0010298,0.0010298
51,12843,1.31964,0.46933,0.00241,0.97338,0.93323,0.95661,0.6564,1.23599,0.42658,0.00301,0.00101,0.00101,0.00101
52,13101.9,1.31489,0.47807,0.00255,0.97108,0.93171,0.95313,0.65164,1.24677,0.42763,0.00297,0.0009902,0.0009902,0.0009902
53,13360.2,1.3023,0.47312,0.00251,0.98145,0.92407,0.9556,0.65963,1.24805,0.42898,0.00301,0.0009704,0.0009704,0.0009704
54,13616.1,1.29682,0.45633,0.00254,0.97862,0.91988,0.95417,0.65031,1.25328,0.42733,0.00293,0.0009506,0.0009506,0.0009506
55,13871.5,1.31374,0.46544,0.00238,0.97515,0.93209,0.95582,0.65811,1.22843,0.41786,0.00281,0.0009308,0.0009308,0.0009308
56,14129.8,1.27853,0.44647,0.00248,0.97859,0.93056,0.95365,0.65746,1.24,0.43293,0.00287,0.000911,0.000911,0.000911
57,14390.8,1.27032,0.45269,0.00238,0.98225,0.92905,0.95558,0.65623,1.2329,0.41753,0.00281,0.0008912,0.0008912,0.0008912
58,14649.7,1.29062,0.45383,0.00243,0.97896,0.93399,0.95598,0.65379,1.24675,0.41271,0.003,0.0008714,0.0008714,0.0008714
